University Name,Category,Campuses,Contact Information,Website,Google Map URL,Latitude,Longitude,Image URL,Established Since,Sector,Chartered By,City,Province,Recognized University,Distance Education
Abasyn University,General,Islamabad; Peshawar,"Peshawar Campus, Ring Road (Charsadda Link), Peshawar. +92-91-258 2934, +92-91- 2248675, +92-91-2247264",http://www.abasyn.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3300.3033157088207!2d72.03481311474509!3d34.18972581792076!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38deca256ed2f867%3A0xb13125823db58c!2sAbdul+Wali+Khan+University+Mardan!5e0!3m2!1sen!2s!4v1468670032462,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,1/12/2007,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes,No
Abbottabad University of Science and Technology (AUST),General,Mian Campus,"Captain Akaash Rabbani Shaheed Road, Tehsil Havelian, District Abbottabad, Khyber Pakhtunkhwa  +92 (992) 402 117",http://aust.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3305.043554965926!2d73.14732301476624!3d34.068397724326864!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38de34eee2011a8f%3A0x9adaae6db5dcc089!2sAbbottabad+University+Of+Science+And+Technology!5e0!3m2!1sen!2s!4v1474965211708,,,/english/universities/PublishingImages/AUST.jpeg,6/1/2015,Public,Government of Khyber Pakhtunkhwa,Abbottabad,Khyber Pakhtunkhwa,Yes,No
Abdul Wali Khan University,General,Mardan,"Garden Campus Toru Road, Mardan. +92-937-843356, +92-937-840499",http://www.awkum.edu.pk,"https://www.google.com/maps/place/Abdul+Wali+Khan+University+Mardan+(+AWKUM+-+Garden+Campus+)/@34.1414521,72.0466476,15z/data=!4m2!3m1!1s0x0:0x2a74fe7d04c5d2c5?sa=X&ved=1t:2428&ictx=111",,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,2/25/2009,Public,Government of Khyber Pakhtunkhwa,Mardan,Khyber Pakhtunkhwa,Yes,No
Aga Khan University,General,Karachi,"Stadium Road, Karachi 74800 +92-21-34863902, +92-21-34863900, +92-21-34863901, +92-21-34930051, +92-21-34932094",http://www.aku.edu/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3619.159132320841!2d67.07182391452413!3d24.892553050102087!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb33edcf21c1bc9%3A0xd51802ed8f0ac36c!2sAga+Khan+University!5e0!3m2!1sen!2s!4v1468933498318,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,3/2/1983,Private,Government of Pakistan,Karachi,Sindh,Yes,No
"Air University, Islamabad",General,Mian Campus; Kamra; Kharian; Lahore; Multan,"Main Campus, Sector E-9, Islamabad.  +92-51-9262557-9",http://www.au.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3318.8103728409487!2d73.02247351456579!3d33.71385538069931!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfbe5967d48243%3A0xcb2c90c562c4687e!2sAir+University!5e0!3m2!1sen!2s!4v1466927516643,,,/english/universities/PublishingImages/Islamabad/air%20university.jpg,10/29/2002,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,No
"Air War College Institute, Karachi",General,Mian Campus,Civil Number +92-21-99541500 Exchange : +92-21-99547569 Fax : +92-21-99240375 Email : support@awci.edu.pk,https://awci.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3619.262803636224!2d67.11187881447806!3d24.889015850243283!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb3393ee36cee2f%3A0x36b97ff0fad21ff4!2sAir%20War%20College%20Institute!5e0!3m2!1sen!2s!4v1621855925986!5m2!1sen!2s,,,/english/universities/PublishingImages/Sindh/Air%20War%20College%20Institute.jpg,1/21/2021,Public,Government of Pakistan,Karachi,Sindh,Yes,No
"Al-Ghazali University, Karachi",General,Mian Campus,"Plot # AS V/6, Sector V, Shahrah-e-Mullah Jewan, Ahsanabad Cooperative Housing Society, Karachi Tel # 0092-21-36881900 Email: info@alghazaliuniversity.edu.pk",http://www.alghazaliuniversity.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3615.9840026120955!2d67.11128247451339!3d25.000659539634896!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb347e485bda19d%3A0x7571c08596ad3548!2sAl-Ghazali%20University!5e0!3m2!1sen!2s!4v1692779891355!5m2!1sen!2s,,,/english/universities/PublishingImages/Placeholder-Image-Content.png,12/8/2022,Private,Government of Sindh,Karachi,Sindh,Yes,No
Al-Hamd Islamic University,General,Quetta,"Airport Road Quetta, Baleli Road, Quetta, Pakistan +92-81-2301771-6, 4, 3,2",http://www.aiu.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3446.5810391496766!2d66.97711771464233!3d30.249021815835256!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3ed31fe10b1cde7b%3A0x6e76dd15bea2aabf!2sAlhamd+Islamic+University!5e0!3m2!1sen!2s!4v1468610776747,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,4/20/2005,Private,Government of Balochistan,Quetta,Balochistan,Yes,No
Ali Institute of Education,General,Lahore,"Shahrah-e-Roomi (Ferozpur Road), Lahore 54000. +92-42-35885065, +92-42-35882913, +92-42-35837080",http://www.aie.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3402.4040585046414!2d74.33841291467317!3d31.4855757560107!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3919043ca58a69ed%3A0xead888426fface6c!2sAli+Institute+of+Education!5e0!3m2!1sen!2s!4v1468740443740,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,2/15/2010,Private,Government of Punjab,Lahore,Punjab,Yes,No
"Al-Karam International Institute, Bhera",General,Mian Campus,"Bhera Distt Sargodha Punjab Pakistan Tel # +92 302-3723246, +92 331-5353320,  Email: info@akii.edu.pk",https://akii.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10380.738094181303!2d72.90620148230813!3d32.48504657139191!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3921b1d3fe4bbd57%3A0x10a53b1e59c1afce!2sAl-Karam%20International%20Institute%20-%20Bhera!5e0!3m2!1sen!2s!4v1660563127386!5m2!1sen!2s,,,"/english/universities/PublishingImages/Al%20Karam%20Institute,%20Bhera.png",1/12/2021,Private,Government of Pakistan,Bhera,Punjab,Yes,No
"Al-Kawthar University, Karachi",General,Mian Campus,"Street # 9, Block 7, Main University Road, Opposite Safari Park, Gulshan-e-Iqbal, Karachi East. Pakistan Tel # +92-312-6311110 Email: info@alkawthar.pk",https://www.alkawthar.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7236.399762434504!2d67.1050953132141!3d24.92525979923521!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3eb339b1454b477f%3A0xb3c11c2abeb978c6!2sAl-Kawthar%20University!5e0!3m2!1sen!2s!4v1718945137014!5m2!1sen!2s,,,/english/universities/PublishingImages/Al-Kawthar%20University.png,7/10/2023,Private,Government of Sindh,Karachi,Sindh,Yes,No
Al-Khair University,General,Bhimber,"University Road, Bhimber (AJK) +92-5828-454085, +92-355-6103355",http://alkhair.edu.pk/new/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3340.9114599510544!2d73.77150941454654!3d33.137690580864614!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x391febbdb02daa47%3A0x4eb281703dba8037!2sAl-Khair+University+AJK!5e0!3m2!1sen!2s!4v1467441717250,,,/Style%20Library/HEC/images/Placeholder-Image-Content.png,7/4/1994,Private,Government of AJK,Bhimber,Azad Jammu & Kashmir,Yes,No
Allama Iqbal Open University,General,Abbottabad; Islamabad,Address : Allama Iqbal Open University Sector H-8 Islamabad E-mail : support@aiou.edu.pk Call : +92-51-111-112-468,http://www.aiou.edu.pk,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d13280.057959640892!2d73.04682326676867!3d33.68268898070809!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x38dfbfd916b82f59%3A0xdcb4b6f257eaac74!2sAllama+Iqbal+Open+University-Official!5e0!3m2!1sen!2s!4v1466856411191,,,/english/universities/PublishingImages/Islamabad/AIOU-Allama%20Iqbal%20Open%20University.png,7/5/1984,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes,Yes
"Aror University of Art, Architecture, Design and Heritage, Sukkur",Arts & Design,Mian Campus,"RCW Rohri Bypass, Sukkur, Sindh-Pakistan Tel # 0092-71-9311300 Email: info@aroruniversitysindh.edu.pk",https://aroruniversitysindh.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3533.8111016753046!2d68.89828141434627!3d27.661315482811005!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3935d5067709454b%3A0x7e32c95e35857f31!2zQXJvciBVbml2ZXJzaXR5IG9mIEFydCwgQXJjaGl0ZWN0dXJlLCBEZXNpZ24gYW5kIEhlcml0YWdlcyBTdWtrdXIg2KfYsdmI2pkg2YrZiNmG2YrZiNix2LPZvdmKINii2YEg2KLYsdm92Iwg2KLYsdqq2YrZvdmK2qrahtix2Iwg2orZitiy2KfYptmGINu9INmH2YrYsdmK2b3Zitis2LIg2LPZg9ix!5e0!3m2!1sen!2s!4v1660623289850!5m2!1sen!2s,,,/english/universities/PublishingImages/Aror%20University.png,7/15/2020,Public,Government of Sindh,Sukkur,Sindh,Yes,No
"Baba Guru Nanak University, Nankana Sahib",General,Mian Campus,"Adampura, Nankana Sahib, Punjab, Pakistan 39100 Tel # +92-56-3549566 Email: info@bgnu.edu.pk",https://bgnu.edu.pk/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3402.092541611908!2d73.72249357476927!3d31.494140048439025!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x391891c685a4a749%3A0x5bbfd63f9fba288!2sBaba%20Guru%20Nanak%20University%20(BGNU)!5e0!3m2!1sen!2s!4v1701924872758!5m2!1sen!2s,,,/english/universities/PublishingImages/Baba%20Guru%20Nanak%20University.png,7/2/2020,Public,Government of Punjab,Nankana Sahib,Punjab,Yes,No
